county_name,county_political_region,county_public_health_region,county_size,Number,Number Rank,Crude_rate,Crude Rank,physicians,physicians_per_10k,substance_admissions,population,substance_rate,,1
Adair,Third Congressional District,Public Health Region Four,"Small (< 10,000)",0,33,0,33,2,2.7,60,7496,80.04,,0
Adams,Third Congressional District,Public Health Region Four,"Small (< 10,000)",0,33,0,33,5,13.5,23,3704,62.1,,1
Allamakee,First Congressional District,Public Health Region Two,"Medium (10,000-20,000)",0,33,0,33,5,3.6,69,14061,49.07,,0
Appanoose,Second Congressional District,Public Health Region Five,"Medium (10,000-20,000)",0,33,0,33,10,8.1,148,12317,120.16,,0
Audubon,Fourth Congressional District,Public Health Region Four,"Small (< 10,000)",0,33,0,33,4,7.1,51,5674,89.88,,1
Benton,First Congressional District,Public Health Region Six,MSA,0,33,0,33,4,1.6,137,25575,53.57,,0
Blackhawk,First Congressional District,Public Health Region Six,MSA,12,6,9.1,19,269,20.5,978,131144,74.57,,0
Boone,Fourth Congressional District,Public Health Region One,"Large (> 20,000)",1,21,3.7,30,16,6,142,26715,53.15,,0
Bremer,First Congressional District,Public Health Region Two,MSA,3,14,12.1,9,22,8.8,110,24988,44.02,,0
Buchanan,First Congressional District,Public Health Region Six,"Large (> 20,000)",0,33,0,33,11,5.3,123,20565,59.81,,0
Buenavista,Fourth Congressional District,Public Health Region Three,"Large (> 20,000)",0,33,0,33,15,7.2,173,20823,83.08,,1
Butler,Fourth Congressional District,Public Health Region Two,"Medium (10,000-20,000)",0,33,0,33,5,3.5,77,14334,53.72,,1
Calhoun,Fourth Congressional District,Public Health Region One,"Medium (10,000-20,000)",0,33,0,33,4,4,56,9927,56.41,,0
Carroll,Fourth Congressional District,Public Health Region One,"Large (> 20,000)",1,21,4.8,28,35,16.9,137,20760,65.99,,0
Cass,Third Congressional District,Public Health Region Four,"Medium (10,000-20,000)",2,19,15.2,7,13,9.9,110,13127,83.8,,1
Cedar,Second Congressional District,Public Health Region Six,"Medium (10,000-20,000)",0,33,0,33,5,2.7,66,18505,35.67,,0
Cerrogordo,Fourth Congressional District,Public Health Region Two,"Large (> 20,000)",9,10,20.8,2,175,40.5,799,43127,185.27,,0
Cherokee,Fourth Congressional District,Public Health Region Three,"Medium (10,000-20,000)",0,33,0,33,13,11.2,89,11658,76.34,,1
Chickasaw,Fourth Congressional District,Public Health Region Two,"Medium (10,000-20,000)",0,33,0,33,4,3.3,57,12012,47.45,,1
Clarke,Second Congressional District,Public Health Region Four,"Small (< 10,000)",0,33,0,33,2,2.1,102,9748,104.64,,0
Clay,Fourth Congressional District,Public Health Region Three,"Medium (10,000-20,000)",1,21,6.1,25,40,24.4,154,16384,93.99,,1
Clayton,First Congressional District,Public Health Region Six,"Medium (10,000-20,000)",0,33,0,33,8,4.7,74,17043,43.42,,0
Clinton,Second Congressional District,Public Health Region Six,"Large (> 20,000)",3,14,6.4,24,40,8.6,373,46460,80.28,,1
Crawford,Fourth Congressional District,Public Health Region Three,"Medium (10,000-20,000)",0,33,0,33,7,4.2,119,16525,72.01,,0
Dallas,Third Congressional District,Public Health Region One,MSA,16,5,16.6,4,133,13.8,347,99678,34.81,,0
Davis,Second Congressional District,Public Health Region Five,"Small (< 10,000)",0,33,0,33,7,7.7,42,9110,46.1,,0
Decatur,Second Congressional District,Public Health Region Four,"Small (< 10,000)",0,33,0,33,4,5.2,63,3653,172.46,,0
Delaware,First Congressional District,Public Health Region Six,"Medium (10,000-20,000)",1,21,5.7,26,10,5.7,81,8100,100,,0
Desmoines,Second Congressional District,Public Health Region Five,"Large (> 20,000)",6,12,15.4,6,90,23,409,38910,105.11,,0
Dickinson,Fourth Congressional District,Public Health Region Three,"Medium (10,000-20,000)",0,33,0,33,11,6.3,123,17703,69.48,,0
Dubuque,First Congressional District,Public Health Region Six,MSA,11,9,11.1,12,197,20,837,99266,84.32,,1
Emmet,Fourth Congressional District,Public Health Region Two,"Medium (10,000-20,000)",0,33,0,33,3,3.2,67,9388,71.37,,1
Fayette,First Congressional District,Public Health Region Two,"Large (> 20,000)",0,33,0,33,4,2,229,19509,117.38,,0
Floyd,Fourth Congressional District,Public Health Region Two,"Medium (10,000-20,000)",0,33,0,33,9,5.7,139,15627,88.95,,1
Franklin,Fourth Congressional District,Public Health Region Two,"Medium (10,000-20,000)",0,33,0,33,4,4,81,10019,80.85,,1
Fremont,Third Congressional District,Public Health Region Four,"Small (< 10,000)",0,33,0,33,2,3,38,6605,57.53,,1
Greene,Fourth Congressional District,Public Health Region One,"Small (< 10,000)",0,33,0,33,4,4.5,68,8771,77.53,,0
Grundy,Fourth Congressional District,Public Health Region One,MSA,0,33,0,33,7,5.7,38,12329,30.82,,0
Guthrie,Third Congressional District,Public Health Region Four,MSA,0,33,0,33,7,6.6,75,10623,70.6,,0
