county_name,District Name,Grade_8_proficient
Hardin,AGWSR Comm School District,73.5
Guthrie,Adair-Casey Comm School District,80
Dallas,Adel DeSoto Minburn Comm School District,91.4
Plymouth,Akron Westfield Comm School District,85.7
Buena Vista,Albert City-Truesdale Comm School District,
Monroe,Albia Comm School District,90
Linn,Alburnett Comm School District,95.8
Hardin,Alden Comm School District,
Kossuth,Algona Comm School District,92.6
Allamakee,Allamakee Comm School District,88.1
Butler,North Butler Comm School District,82.9
Buena Vista,Alta-Aurelia Comm School District,93.9
Story,Ames Comm School District,78.4
Jones,Anamosa Comm School District,69.9
Jackson,Andrew Comm School District,
Polk,Ankeny Comm School District,90.9
Butler,Aplington-Parkersburg Comm School District,84.8
Emmet,North Union Comm School District,
Crawford,Ar-We-Va Comm School District,88.9
Cass,Atlantic Comm School District,76.4
Audubon,Audubon Comm School District,94.6
Pottawattamie,AHSTW Comm School District,77.4
Story,Ballard Comm School District,82.6
Jasper,Baxter Comm School District,86
Grundy,BCLUW Comm School District,87.2
Taylor,Bedford Comm School District,96.4
Benton,Belle Plaine Comm School District,73.3
Jackson,Bellevue Comm School District,70.2
Wright,Belmond-Klemme Comm School District,64.4
Cedar,Bennett Comm School District,
Benton,Benton Comm School District,80
Scott,Bettendorf Comm School District,81.4
Wapello,Eddyville-Blakesburg- Fremont CSD,73.7
Polk,Bondurant-Farrar Comm School District,84.7
Boone,Boone Comm School District,85.3
Sioux,Boyden-Hull Comm School District,85.3
Hancock,West Hancock Comm School District,94.9
Poweshiek,Brooklyn-Guernsey-Malcom Comm School District,88.9
Winnebago,North Iowa Comm School District,76.9
Des Moines,Burlington Comm School District,64.7
Cass,CAM Comm School District,72.7
Franklin,CAL Comm School District,
Clinton,Calamus-Wheatland Comm School District,82.9
Clinton,Camanche Comm School District,76.3
Wapello,Cardinal Comm School District,82.6
Warren,Carlisle Comm School District,75.9
Carroll,Carroll Comm School District,84.2
Black Hawk,Cedar Falls Comm School District,88.8
Linn,Cedar Rapids Comm School District,70.7
Linn,Center Point-Urbana Comm School District,90.5
Appanoose,Centerville Comm School District,70.7
Lee,Central Lee Comm School District,84.1
Clayton,Central Comm School District,83.3
Clinton,Central DeWitt School District,81.7
Linn,Central City Comm School District,80
Decatur,Central Decatur Comm School District,81.6
Lyon,Central Lyon Comm School District,86.2
Lucas,Chariton Comm School District,63.6
Floyd,Charles City Comm School District,75.5
Crawford,Charter Oak-Ute Comm School District,64
Cherokee,Cherokee Comm School District,80
Page,Clarinda Comm School District,78.8
Wright,Clarion-Goldfield-Dows Comm School District,80.6
Clarke,Clarke Comm School District,70.9
Butler,Clarksville Comm School District,90
Clay,Clay Central-Everly Comm School District,
Johnson,Clear Creek Amana Comm School District,79.3
Cerro Gordo,Clear Lake Comm School District,84.3
Clinton,Clinton Comm School District,65.4
Jasper,Colfax-Mingo Comm School District,80.8
Linn,College Comm School District,74.9
Story,Collins-Maxwell Comm School District,95.5
Story,Colo-NESCO  Comm School District,66.7
Louisa,Columbus Comm School District,75.9
Carroll,Coon Rapids-Bayard Comm School District,90
Adams,Corning Comm School District,
Pottawattamie,Council Bluffs Comm School District,67.7
Union,Creston Comm School District,78.9
Dallas,Dallas Center-Grimes Comm School District,90.2
Des Moines,Danville  Comm School District,61.7
Scott,Davenport Comm School District,54.2
Davis,Davis County Comm School District,74.1
Winneshiek,Decorah Community School District,93.3
Clinton,Delwood Comm School District,
Crawford,Denison Comm School District,80.1
Bremer,Denver Comm School District,90.3
Polk,Des Moines Independent Comm School District,56.4
Ringgold,Diagonal Comm School District,63.6
Grundy,Dike-New Hartford Comm School District,84
Dubuque,Dubuque Comm School District,68
Black Hawk,Dunkerton Comm School District,75
Harrison,Boyer Valley Comm School District,89.7
Cedar,Durant Comm School District,82.5
Wright,Eagle Grove Comm School District,69
Madison,Earlham Comm School District,78.4
Buchanan,East Buchanan Comm School District,78.8
Jackson,Easton Valley Comm School District,83.3
Marshall,East Marshall Comm School District,96.1
Union,East Union Comm School District,90.5
Allamakee,Eastern Allamakee Comm School District,78.6
Woodbury,River Valley Comm School District,63.6
Clayton,Edgewood-Colesburg Comm School District,74.4
Hardin,Eldora-New Providence Comm School District,
Palo Alto,Emmetsburg Comm School District,82.5
Iowa,English Valleys Comm School District,86.2
Page,Essex Comm School District,80
Emmet,Estherville Lincoln Central Com Sch Dist,85.4
Shelby,Exira-Elk Horn- Kimballton Comm Sch Dist,75
Jefferson,Fairfield Comm School District,87.3
Winnebago,Forest City Comm School District,77.3
Webster,Fort Dodge Comm School District,74.9
Lee,Fort Madison Comm School District,69
Fremont,Fremont-Mills Comm School District,81.6
Ida,Galva-Holstein Comm School District,
Hancock,Garner-Hayfield-Ventura Comm School District,90.9
Lyon,George-Little Rock Comm School District,64.5
Story,Gilbert Comm School District,95.5
Humboldt,Gilmore City-Bradgate Comm School District,
Grundy,Gladbrook-Reinbeck Comm School District,95.5
Mills,Glenwood Comm School District,90.1
Carroll,Glidden-Ralston Comm School District,65
Palo Alto,Graettinger-Terril Comm School District,67.9
Adair,Nodaway Valley Comm School District,81.6
Tama,GMG Comm School District,81.5
Poweshiek,Grinnell-Newburg Comm School District,81.7
Cass,Griswold Comm School District,95.5
Grundy,Grundy Center Comm School District,100
Guthrie,Guthrie Center Comm School District,
Clayton,Clayton Ridge Comm School District,64.1
Iowa,H-L-V Comm School District,78.6
Fremont,Hamburg Comm School District,81.3
Franklin,Hampton-Dumont Comm School District,74.7
Shelby,Harlan Comm School District,89.8
Dickinson,Harris-Lake Park Comm School District,100
O'Brien,Hartley-Melvin-Sanborn Comm School District,94.2
Washington,Highland  Comm School District,75
Plymouth,Hinton Comm School District,83.3
Howard,Howard-Winneshiek Comm School District,83.7
Hardin,Hubbard-Radcliffe Comm School District,76.4
Black Hawk,Hudson Comm School District,78.7
Humboldt,Humboldt Comm School District,83.6
Buchanan,Independence Comm School District,75.3
